time,open,high,low,close,FVG,Swing Order Blocks Signal OB,Internal Order Blocks Signal OB,Internal Order Blocks+ Swing Order Blocks Signal OB
2026-03-11T20:20:00+08:00,1.1598,1.16,1.15953,1.15983,,,,
2026-03-11T20:25:00+08:00,1.15982,1.16022,1.15959,1.16006,,,,
2026-03-11T20:30:00+08:00,1.16006,1.16055,1.15872,1.15886,,,,
2026-03-11T20:35:00+08:00,1.15885,1.15975,1.15871,1.15972,,,,
2026-03-11T20:40:00+08:00,1.1597,1.15975,1.15899,1.15911,,,,
2026-03-11T20:45:00+08:00,1.15908,1.15909,1.15838,1.15862,,,,
2026-03-11T20:50:00+08:00,1.15861,1.15868,1.15775,1.15811,,,,
2026-03-11T20:55:00+08:00,1.1581,1.15843,1.15794,1.15826,,,,
2026-03-11T21:00:00+08:00,1.15824,1.15899,1.15815,1.15834,,,,
2026-03-11T21:05:00+08:00,1.15834,1.15867,1.15792,1.15807,,,,
2026-03-11T21:10:00+08:00,1.15808,1.15853,1.15787,1.15848,,,,
2026-03-11T21:15:00+08:00,1.15846,1.15888,1.15834,1.15869,,,,
2026-03-11T21:20:00+08:00,1.15869,1.15906,1.15855,1.15906,,,,
2026-03-11T21:25:00+08:00,1.15905,1.15919,1.15853,1.15881,,,,
2026-03-11T21:30:00+08:00,1.1588,1.15882,1.15816,1.15841,,,,
2026-03-11T21:35:00+08:00,1.15843,1.15903,1.15825,1.15873,,,,
2026-03-11T21:40:00+08:00,1.15871,1.15896,1.1581,1.15828,,,,
2026-03-11T21:45:00+08:00,1.15822,1.15831,1.1578,1.15827,,,,
2026-03-11T21:50:00+08:00,1.15828,1.15878,1.15806,1.15858,,,,
2026-03-11T21:55:00+08:00,1.15859,1.15933,1.15849,1.15919,,,,
2026-03-11T22:00:00+08:00,1.15916,1.16126,1.15858,1.15959,,,,
2026-03-11T22:05:00+08:00,1.15959,1.16043,1.15908,1.15965,,,,
2026-03-11T22:10:00+08:00,1.15967,1.1599,1.15925,1.1597,,,,
2026-03-11T22:15:00+08:00,1.15971,1.15998,1.15932,1.15943,,,,
2026-03-11T22:20:00+08:00,1.15944,1.15954,1.15893,1.15913,,,,
2026-03-11T22:25:00+08:00,1.15914,1.15939,1.1588,1.15929,,,,
2026-03-11T22:30:00+08:00,1.1593,1.15971,1.15859,1.15882,,,,
2026-03-11T22:35:00+08:00,1.1588,1.15909,1.1585,1.15883,,,,
2026-03-11T22:40:00+08:00,1.15882,1.15896,1.15831,1.15869,,,,
2026-03-11T22:45:00+08:00,1.15871,1.15934,1.1585,1.15898,,,,
2026-03-11T22:50:00+08:00,1.15899,1.15947,1.1585,1.15872,,,,
2026-03-11T22:55:00+08:00,1.15871,1.15876,1.1581,1.15819,,,,
2026-03-11T23:00:00+08:00,1.15817,1.15844,1.15765,1.158,,,,
2026-03-11T23:05:00+08:00,1.15802,1.15807,1.15767,1.15789,,,,
2026-03-11T23:10:00+08:00,1.15786,1.15798,1.15764,1.15767,,,,
2026-03-11T23:15:00+08:00,1.15763,1.1578,1.15757,1.15766,,,,
2026-03-11T23:20:00+08:00,1.15767,1.15787,1.1575,1.15764,,,,
2026-03-11T23:25:00+08:00,1.15767,1.15777,1.15741,1.15746,,,,
2026-03-11T23:30:00+08:00,1.15747,1.15763,1.15715,1.15752,,,,
2026-03-11T23:35:00+08:00,1.15751,1.15765,1.1571,1.15715,,,,
2026-03-11T23:40:00+08:00,1.15716,1.15723,1.15699,1.15714,,,,
2026-03-11T23:45:00+08:00,1.15712,1.15714,1.15679,1.15683,,,,
2026-03-11T23:50:00+08:00,1.15684,1.15749,1.1568,1.15728,,,,
2026-03-11T23:55:00+08:00,1.15725,1.15728,1.15656,1.15663,,,,
2026-03-12T00:00:00+08:00,1.15662,1.15689,1.15651,1.15662,,,,
2026-03-12T00:05:00+08:00,1.15661,1.15673,1.15632,1.15638,,,,
2026-03-12T00:10:00+08:00,1.15637,1.15716,1.15632,1.15715,,,,
2026-03-12T00:15:00+08:00,1.15716,1.15726,1.15677,1.15706,,,,
2026-03-12T00:20:00+08:00,1.15708,1.15752,1.15708,1.15725,,,,
2026-03-12T00:25:00+08:00,1.15727,1.15729,1.15684,1.15702,,,,
2026-03-12T00:30:00+08:00,1.15703,1.15765,1.15698,1.15751,,,,
2026-03-12T00:35:00+08:00,1.15752,1.15756,1.15691,1.15693,,,,
2026-03-12T00:40:00+08:00,1.15695,1.15718,1.1569,1.15696,,,,
2026-03-12T00:45:00+08:00,1.15695,1.15715,1.1568,1.15685,,,,
2026-03-12T00:50:00+08:00,1.15688,1.15707,1.15685,1.15701,,,,
2026-03-12T00:55:00+08:00,1.15702,1.15718,1.15692,1.1571,,,,
2026-03-12T01:00:00+08:00,1.15711,1.15727,1.15692,1.15725,,,,
2026-03-12T01:05:00+08:00,1.15726,1.15753,1.15723,1.15741,,,,
2026-03-12T01:10:00+08:00,1.1574,1.15764,1.15723,1.15749,,,,
2026-03-12T01:15:00+08:00,1.1575,1.1576,1.15716,1.15723,,,,
2026-03-12T01:20:00+08:00,1.15724,1.15748,1.15696,1.15725,,,,
2026-03-12T01:25:00+08:00,1.15726,1.15755,1.15726,1.15755,,,,
2026-03-12T01:30:00+08:00,1.15758,1.15764,1.15722,1.15739,,,,
2026-03-12T01:35:00+08:00,1.15742,1.15751,1.15609,1.1567,,,,
2026-03-12T01:40:00+08:00,1.15671,1.15692,1.15655,1.15676,,,,
2026-03-12T01:45:00+08:00,1.15675,1.15688,1.15658,1.1568,,,,
2026-03-12T01:50:00+08:00,1.15679,1.15726,1.15677,1.157,,,,
2026-03-12T01:55:00+08:00,1.15699,1.15719,1.15662,1.15714,,,,
2026-03-12T02:00:00+08:00,1.15713,1.15719,1.15697,1.15702,,,,
2026-03-12T02:05:00+08:00,1.15699,1.15709,1.15662,1.15664,,,,
2026-03-12T02:10:00+08:00,1.15665,1.15699,1.15643,1.15697,,,,
2026-03-12T02:15:00+08:00,1.15696,1.15723,1.15688,1.15721,,,,
2026-03-12T02:20:00+08:00,1.15721,1.15737,1.15705,1.15729,,,,
2026-03-12T02:25:00+08:00,1.15726,1.15741,1.15708,1.15722,,,,
2026-03-12T02:30:00+08:00,1.1572,1.15735,1.15704,1.15729,,,,
2026-03-12T02:35:00+08:00,1.15727,1.15736,1.15723,1.15729,,,,
2026-03-12T02:40:00+08:00,1.1573,1.15738,1.15719,1.15723,,,,
2026-03-12T02:45:00+08:00,1.15722,1.15731,1.15705,1.15707,,,,
2026-03-12T02:50:00+08:00,1.15708,1.15732,1.15699,1.1573,,,,
2026-03-12T02:55:00+08:00,1.15727,1.15745,1.15695,1.15716,,,,
2026-03-12T03:00:00+08:00,1.15717,1.15719,1.15684,1.15691,,,,
2026-03-12T03:05:00+08:00,1.1569,1.15703,1.15681,1.15701,,,,
2026-03-12T03:10:00+08:00,1.15702,1.15714,1.15695,1.15698,,,,
2026-03-12T03:15:00+08:00,1.15698,1.15716,1.15686,1.1571,,,,
2026-03-12T03:20:00+08:00,1.15711,1.15715,1.15699,1.15711,,,,
2026-03-12T03:25:00+08:00,1.1571,1.1573,1.15687,1.157,,,,
2026-03-12T03:30:00+08:00,1.15701,1.15721,1.15698,1.15716,,,,
2026-03-12T03:35:00+08:00,1.15717,1.1572,1.15693,1.15718,,,,
2026-03-12T03:40:00+08:00,1.15717,1.15725,1.15715,1.15724,,,,
2026-03-12T03:45:00+08:00,1.15725,1.15733,1.1571,1.1573,,,,
2026-03-12T03:50:00+08:00,1.15731,1.15763,1.15725,1.15757,,,,
2026-03-12T03:55:00+08:00,1.15758,1.15763,1.15728,1.15731,,,,
2026-03-12T04:00:00+08:00,1.15733,1.15734,1.15699,1.15709,,,,
2026-03-12T04:05:00+08:00,1.15708,1.15717,1.15694,1.15717,,,,
2026-03-12T04:10:00+08:00,1.15718,1.15727,1.15718,1.15721,,,,
2026-03-12T04:15:00+08:00,1.1572,1.15721,1.15706,1.15708,,,,
2026-03-12T04:20:00+08:00,1.15706,1.15718,1.15702,1.15715,,,,
2026-03-12T04:25:00+08:00,1.15716,1.15717,1.15702,1.15702,,,,
2026-03-12T04:30:00+08:00,1.15701,1.15713,1.15697,1.15698,,,,
2026-03-12T04:35:00+08:00,1.15697,1.15697,1.15669,1.15676,,,,
2026-03-12T04:40:00+08:00,1.15676,1.15677,1.15662,1.15664,,,,
2026-03-12T04:45:00+08:00,1.15663,1.15663,1.15649,1.15652,,,,
2026-03-12T04:50:00+08:00,1.15651,1.15664,1.15649,1.15655,,,,
2026-03-12T04:55:00+08:00,1.15655,1.15672,1.15655,1.1567,,,,
2026-03-12T05:00:00+08:00,1.15655,1.15664,1.15655,1.15662,,,,
2026-03-12T05:05:00+08:00,1.15662,1.15663,1.15661,1.15663,,,,
